fid,hovedtyper_fkey,langkode,kode_id,navn
123,362,NiN-3.0-T-C-PE-NA-MB-TC06-M050-01,TC06-M050-01,TC06-M050-01 Fuglefjell-eng
124,363,NiN-3.0-T-C-PE-NA-MB-TC05-M050-02,TC05-M050-02,TC05-M050-02 Brakkvanns-strandeng
125,363,NiN-3.0-T-C-PE-NA-MB-TC05-M050-01,TC05-M050-01,TC05-M050-01 Strandeng
126,364,NiN-3.0-T-C-PE-NA-MB-TC04-M050-01,TC04-M050-01,TC04-M050-01 Saltanrikningsmark
127,365,NiN-3.0-T-C-PE-NA-MB-TC03-M050-03,TC03-M050-03,TC03-M050-03 Stein- og blokkstrand i geo- til supralittoral
128,365,NiN-3.0-T-C-PE-NA-MB-TC03-M050-02,TC03-M050-02,"TC03-M050-02 Sand-, skjellsand-, grus-, og ruglebunn-strand i geo- til supralittoral"
129,365,NiN-3.0-T-C-PE-NA-MB-TC03-M050-01,TC03-M050-01,TC03-M050-01 Leire- og siltstrand i geolittoral
130,366,NiN-3.0-T-C-PE-NA-MB-TC02-M050-02,TC02-M050-02,TC02-M050-02 Sterkt kalkrik grotte og overheng
131,366,NiN-3.0-T-C-PE-NA-MB-TC02-M050-01,TC02-M050-01,TC02-M050-01 Kalkfattig til litt kalkrik grotte og overheng
132,367,NiN-3.0-T-C-PE-NA-MB-TC01-M050-01,TC01-M050-01,TC01-M050-01 Strandberg
133,368,NiN-3.0-T-C-PE-NA-MB-TB01-M050-02,TB01-M050-02,TB01-M050-02 Kalkskog
134,368,NiN-3.0-T-C-PE-NA-MB-TB01-M050-01,TB01-M050-01,TB01-M050-01 Kalkfattig til intermediær skog
135,369,NiN-3.0-T-C-PE-NA-MB-TA04-M050-02,TA04-M050-02,TA04-M050-02 Klart kalkrik arktisk-alpin grasmark
136,369,NiN-3.0-T-C-PE-NA-MB-TA04-M050-01,TA04-M050-01,TA04-M050-01 Kalkfattig til litt kalkrik arktisk-alpin grasmark
137,370,NiN-3.0-T-C-PE-NA-MB-TA03-M050-02,TA03-M050-02,TA03-M050-02 Kalkrik til saltanriket arktisk-alpin hei og leside
138,370,NiN-3.0-T-C-PE-NA-MB-TA03-M050-01,TA03-M050-01,TA03-M050-01 Kalkfattig til litt kalkrik arktisk-alpin hei og leside
139,371,NiN-3.0-T-C-PE-NA-MB-TA02-M050-02,TA02-M050-02,TA02-M050-02 Temmelig til ekstremt kalkrik åpen grunnlendt mark
140,371,NiN-3.0-T-C-PE-NA-MB-TA02-M050-01,TA02-M050-01,TA02-M050-01 Kalkfattig til litt kalkrik åpen grunnlendt mark
141,372,NiN-3.0-T-C-PE-NA-MB-TA01-M050-02,TA01-M050-02,TA01-M050-02 Klart til ekstremt kalkrikt nakent berg
142,372,NiN-3.0-T-C-PE-NA-MB-TA01-M050-01,TA01-M050-01,TA01-M050-01 Svært kalkfattig til noe kalkrikt nakent berg
143,373,NiN-3.0-T-C-PE-NA-MB-MM02-M050-02,MM02-M050-02,MM02-M050-02 Sterkt endret marin bunn av uorganisk substrat preget av kronisk kjemisk påvirkning
144,373,NiN-3.0-T-C-PE-NA-MB-MM02-M050-01,MM02-M050-01,MM02-M050-01 Sterkt endret marin fastbunn preget av kronisk kjemisk påvirkning
145,374,NiN-3.0-T-C-PE-NA-MB-MM01-M050-04,MM01-M050-04,MM01-M050-04 Sterkt endret eller ny marin bunn av dy og gytje
146,374,NiN-3.0-T-C-PE-NA-MB-MM01-M050-03,MM01-M050-03,MM01-M050-03 Sterkt endret eller ny uorganisk marin bunn
147,374,NiN-3.0-T-C-PE-NA-MB-MM01-M050-02,MM01-M050-02,MM01-M050-02 Sterkt endret eller ny marin fastbunn i afotisk sone
148,374,NiN-3.0-T-C-PE-NA-MB-MM01-M050-01,MM01-M050-01,MM01-M050-01 Sterkt endret eller ny marin fastbunn i eufotisk sone
149,375,NiN-3.0-T-C-PE-NA-MB-MJ01-M050-01,MJ01-M050-01,MJ01-M050-01 Taretrålingsbunn
150,376,NiN-3.0-T-C-PE-NA-MB-MF01-M050-01,MF01-M050-01,MF01-M050-01 Brakkvanns-undervannseng
151,377,NiN-3.0-T-C-PE-NA-MB-MC10-M050-01,MC10-M050-01,MC10-M050-01 Havis-underside
152,378,NiN-3.0-T-C-PE-NA-MB-MC09-M050-01,MC09-M050-01,MC09-M050-01 Havisbunn
153,379,NiN-3.0-T-C-PE-NA-MB-MC08-M050-02,MC08-M050-02,MC08-M050-02 Oksygenfri marin bunn
154,379,NiN-3.0-T-C-PE-NA-MB-MC08-M050-01,MC08-M050-01,MC08-M050-01 Periodisk oksygenfri marin bunn
