fid,hovedtypegrupper_fkey,langkode,kode_id,navn
282,57,NIN-3.0-T-C-PE-NA-MB-A-TM01,NA-TM01,Hard sterkt endret fastmark
283,57,NIN-3.0-T-C-PE-NA-MB-A-TL01,NA-TL01,Ny eng med semi-naturlig preg
284,57,NIN-3.0-T-C-PE-NA-MB-A-TK03,NA-TK03,Kystlynghei
285,57,NIN-3.0-T-C-PE-NA-MB-A-TK02,NA-TK02,Semi-naturlig strandeng
286,57,NIN-3.0-T-C-PE-NA-MB-A-TK01,NA-TK01,Semi-naturlig eng
287,57,NIN-3.0-T-C-PE-NA-MB-A-TI01,NA-TI01,Klart endret skogsmark
288,57,NIN-3.0-T-C-PE-NA-MB-A-TH01,NA-TH01,Avskoget hei og eng
289,57,NIN-3.0-T-C-PE-NA-MB-A-TG01,NA-TG01,Nakne løsmasser
290,57,NIN-3.0-T-C-PE-NA-MB-A-TF02,NA-TF02,Flomskogsmark
291,57,NIN-3.0-T-C-PE-NA-MB-A-TF01,NA-TF01,Sand- og dyneskogsmark
292,57,NIN-3.0-T-C-PE-NA-MB-A-TE06,NA-TE06,Marin driftvoll
293,57,NIN-3.0-T-C-PE-NA-MB-A-TE05,NA-TE05,Oppfrysingsmark
294,57,NIN-3.0-T-C-PE-NA-MB-A-TE04,NA-TE04,Langvarig oversvømt flommark
295,57,NIN-3.0-T-C-PE-NA-MB-A-TE03,NA-TE03,Åpen flomfastmark
296,57,NIN-3.0-T-C-PE-NA-MB-A-TE02,NA-TE02,Aktiv skredmark
297,57,NIN-3.0-T-C-PE-NA-MB-A-TE01,NA-TE01,Sanddynemark
298,57,NIN-3.0-T-C-PE-NA-MB-A-TD06,NA-TD06,Rabbe
299,57,NIN-3.0-T-C-PE-NA-MB-A-TD05,NA-TD05,Naturlig beitebetinget eng
300,57,NIN-3.0-T-C-PE-NA-MB-A-TD04,NA-TD04,Fosse-eng
301,57,NIN-3.0-T-C-PE-NA-MB-A-TD03,NA-TD03,Rasmarkeng
302,57,NIN-3.0-T-C-PE-NA-MB-A-TD02,NA-TD02,Flomskredmark
303,57,NIN-3.0-T-C-PE-NA-MB-A-TD01,NA-TD01,Rasmark
304,57,NIN-3.0-T-C-PE-NA-MB-A-TC08,NA-TC08,Snøleie
305,57,NIN-3.0-T-C-PE-NA-MB-A-TC07,NA-TC07,Fugletopp
306,57,NIN-3.0-T-C-PE-NA-MB-A-TC06,NA-TC06,Fuglefjell-eng
307,57,NIN-3.0-T-C-PE-NA-MB-A-TC05,NA-TC05,Strandeng
308,57,NIN-3.0-T-C-PE-NA-MB-A-TC04,NA-TC04,Saltanrikningsmark
309,57,NIN-3.0-T-C-PE-NA-MB-A-TC03,NA-TC03,Løsmasse-strand
310,57,NIN-3.0-T-C-PE-NA-MB-A-TC02,NA-TC02,Grotte og overheng
311,57,NIN-3.0-T-C-PE-NA-MB-A-TC01,NA-TC01,Strandberg
312,57,NIN-3.0-T-C-PE-NA-MB-A-TB01,NA-TB01,Fastmarksskogsmark
313,57,NIN-3.0-T-C-PE-NA-MB-A-TA04,NA-TA04,Arktisk-alpin grasmark
314,57,NIN-3.0-T-C-PE-NA-MB-A-TA03,NA-TA03,Arktisk-alpin hei og leside
315,57,NIN-3.0-T-C-PE-NA-MB-A-TA02,NA-TA02,Åpen grunnlendt mark
316,57,NIN-3.0-T-C-PE-NA-MB-A-TA01,NA-TA01,Nakent berg
317,58,NIN-3.0-T-C-PE-NA-VM-A-SM03,NA-SM03,Marine vannmassesystemer preget av kronisk fysikalsk-kjemisk påvirkning
318,58,NIN-3.0-T-C-PE-NA-VM-A-SM02,NA-SM02,Marine vannmassesystemer preget av kronisk fysisk påvirkning
319,58,NIN-3.0-T-C-PE-NA-VM-A-SM01,NA-SM01,Nye marine vannmassesystemer
320,58,NIN-3.0-T-C-PE-NA-VM-A-SC07,NA-SC07,Marine vannmassesystemer på polar havis
321,58,NIN-3.0-T-C-PE-NA-VM-A-SC06,NA-SC06,Marine vannmassesystemer nær og nord for iskanten
322,58,NIN-3.0-T-C-PE-NA-VM-A-SC05,NA-SC05,Marine vannmassesystemer i poller og littoralbasseng
323,58,NIN-3.0-T-C-PE-NA-VM-A-SC04,NA-SC04,Marine vannmassesystemer preget av oksygenmangel
324,58,NIN-3.0-T-C-PE-NA-VM-A-SC03,NA-SC03,Afotiske sirkulerende fjordvannmassesystemer
325,58,NIN-3.0-T-C-PE-NA-VM-A-SC02,NA-SC02,Eufotiske fjordvannmassesystemer
326,58,NIN-3.0-T-C-PE-NA-VM-A-SC01,NA-SC01,Afotiske havvannmassesystemer
327,58,NIN-3.0-T-C-PE-NA-VM-A-SA01,NA-SA01,Eufotiske havvannmassesystemer sør for iskanten
328,59,NIN-3.0-T-C-PE-NA-VM-A-FM05,NA-FM05,Elvevannmassesystemer preget av introduksjon eller bortfall av strukturerende organismer
329,59,NIN-3.0-T-C-PE-NA-VM-A-FM04,NA-FM04,Elvevannmassesystemer preget av kronisk fysikalsk-kjemisk påvirkning
330,59,NIN-3.0-T-C-PE-NA-VM-A-FM03,NA-FM03,Innsjø-vannmassesystemer preget av introduksjon eller bortfall av strukturerende organismer
331,59,NIN-3.0-T-C-PE-NA-VM-A-FM02,NA-FM02,Innsjø-vannmassesystemer preget av kronisk fysikalsk-kjemisk påvirkning
332,59,NIN-3.0-T-C-PE-NA-VM-A-FM01,NA-FM01,Nye innsjø-vannmassesystemer
333,59,NIN-3.0-T-C-PE-NA-VM-A-FC05,NA-FC05,Limniske vannmassesystemer på isoverflate
334,59,NIN-3.0-T-C-PE-NA-VM-A-FC04,NA-FC04,Innsjø-vannmassesystemer preget av oksygenmangel
335,59,NIN-3.0-T-C-PE-NA-VM-A-FC03,NA-FC03,Limniske vannmassesystemer preget av naturlig gjødsling
336,59,NIN-3.0-T-C-PE-NA-VM-A-FC02,NA-FC02,Grottesjø-vannmassesystemer
337,59,NIN-3.0-T-C-PE-NA-VM-A-FC01,NA-FC01,Bresjø-vannmassesystemer
338,59,NIN-3.0-T-C-PE-NA-VM-A-FB03,NA-FB03,Elvevannmassesystemer
339,59,NIN-3.0-T-C-PE-NA-VM-A-FB02,NA-FB02,Ikke lagdelte innsjø-vannmassesystemer
340,59,NIN-3.0-T-C-PE-NA-VM-A-FB01,NA-FB01,"Lagdelte, fullsirkulerende innsjø-vannmassesystemer"
341,59,NIN-3.0-T-C-PE-NA-VM-A-FA02,NA-FA02,"Ikke lagdelte, fullsirkulerende, naturlig fisketomme innsjø-vannmassesystemer"
342,59,NIN-3.0-T-C-PE-NA-VM-A-FA01,NA-FA01,"Lagdelte, fullsirkulerende, naturlig fisketomme innsjø-vannmassesystemer"
343,60,NIN-3.0-T-C-PE-NA-MB-A-VO01,NA-VO01,Sterkt tråkkpreget våtmark
344,60,NIN-3.0-T-C-PE-NA-MB-A-VM06,NA-VM06,Ny grunn våtmark på menneskebetinget forsumpet fastmark
345,60,NIN-3.0-T-C-PE-NA-MB-A-VM05,NA-VM05,Ny grunn våtmark på tidligere ferskvannsbunn
346,60,NIN-3.0-T-C-PE-NA-MB-A-VM04,NA-VM04,"Sterkt endret, ikke torvproduserende våtmark"
347,60,NIN-3.0-T-C-PE-NA-MB-A-VM03,NA-VM03,Ny torvmark på menneskebetinget forsumpet fastmark
348,60,NIN-3.0-T-C-PE-NA-MB-A-VM02,NA-VM02,Ny torvmark på tidligere ferskvannsbunn
349,60,NIN-3.0-T-C-PE-NA-MB-A-VM01,NA-VM01,Sterkt endret torvmark
350,60,NIN-3.0-T-C-PE-NA-MB-A-VK02,NA-VK02,Semi-naturlig våteng
351,60,NIN-3.0-T-C-PE-NA-MB-A-VK01,NA-VK01,Slåttemyr
352,60,NIN-3.0-T-C-PE-NA-MB-A-VI01,NA-VI01,Klart endret våtmarksskogsmark
353,60,NIN-3.0-T-C-PE-NA-MB-A-VG02,NA-VG02,Ny naturgitt grunn våtmark
354,60,NIN-3.0-T-C-PE-NA-MB-A-VG01,NA-VG01,Ny naturgitt torvmark
355,60,NIN-3.0-T-C-PE-NA-MB-A-VF02,NA-VF02,Strandsumpskogsmark
356,60,NIN-3.0-T-C-PE-NA-MB-A-VF01,NA-VF01,Nedbørsmyr-skogsmark
357,60,NIN-3.0-T-C-PE-NA-MB-A-VE01,NA-VE01,Oppfrysingsvåtmark
358,60,NIN-3.0-T-C-PE-NA-MB-A-VC05,NA-VC05,Permafrost-våtmark
359,60,NIN-3.0-T-C-PE-NA-MB-A-VC04,NA-VC04,Våt- og kildesnøleie
360,60,NIN-3.0-T-C-PE-NA-MB-A-VC03,NA-VC03,Grunnkilde
361,60,NIN-3.0-T-C-PE-NA-MB-A-VC02,NA-VC02,Torvmarkskilde
362,60,NIN-3.0-T-C-PE-NA-MB-A-VC01,NA-VC01,Åpen nedbørsmyr
363,60,NIN-3.0-T-C-PE-NA-MB-A-VB01,NA-VB01,Myr- og sumpskogsmark
364,60,NIN-3.0-T-C-PE-NA-MB-A-VA01,NA-VA01,Åpen jordvannsmyr
365,61,NIN-3.0-T-C-PE-NA-MB-A-OM02,NA-OM02,Elvebunn preget av kronisk fysikalsk-kjemisk påvirkning
366,61,NIN-3.0-T-C-PE-NA-MB-A-OM01,NA-OM01,Elvebunn preget av kronisk fysisk forstyrrelse
367,61,NIN-3.0-T-C-PE-NA-MB-A-OG01,NA-OG01,Ny elvebunn
368,61,NIN-3.0-T-C-PE-NA-MB-A-OC03,NA-OC03,Dy- og gytjebunn i elv
369,61,NIN-3.0-T-C-PE-NA-MB-A-OC02,NA-OC02,Varm ferskvannskildebunn
370,61,NIN-3.0-T-C-PE-NA-MB-A-OC01,NA-OC01,Ferskvannskildebunn
371,61,NIN-3.0-T-C-PE-NA-MB-A-OB01,NA-OB01,Elve-undervannseng
372,61,NIN-3.0-T-C-PE-NA-MB-A-OA02,NA-OA02,Elvesedimentbunn
373,61,NIN-3.0-T-C-PE-NA-MB-A-OA01,NA-OA01,Fast elvebunn
374,62,NIN-3.0-T-C-PE-NA-MB-A-MC02,NA-MC02,Fast brakkvannsbunn
375,62,NIN-3.0-T-C-PE-NA-MB-A-MC01,NA-MC01,Fast brakkvanns-fjærebeltebunn
376,62,NIN-3.0-T-C-PE-NA-MB-A-MB03,NA-MB03,Korallrev
377,62,NIN-3.0-T-C-PE-NA-MB-A-MB02,NA-MB02,Saltvanns-undervannseng
378,62,NIN-3.0-T-C-PE-NA-MB-A-MM02,NA-MM02,Sterkt endret marin bunn preget av kronisk kjemisk påvirkning
379,62,NIN-3.0-T-C-PE-NA-MB-A-MM01,NA-MM01,Sterkt endret eller ny marin bunn
380,62,NIN-3.0-T-C-PE-NA-MB-A-MJ01,NA-MJ01,Taretrålingsbunn
