fid,hovedtyper_fkey,langkode,kode_id,navn,kartleggingsenhet_m005_fkey,kartleggingsenhet_m020_fkey,kartleggingsenhet_m050_fkey
786,341,NIN-3.0-T-C-PE-NA-MB-TI01-07,TI01-07,TI01-07 Hugd eller treslagstypeskiftet klart endret tørrere ikke-kalkrik skog,TI01-M005-07,TI01-M020-03,TI01-M050-01
787,341,NIN-3.0-T-C-PE-NA-MB-TI01-06,TI01-06,TI01-06 Hugd eller treslagstypeskiftet klart endret friskere kalkskog,TI01-M005-06,TI01-M020-04,TI01-M050-01
788,341,NIN-3.0-T-C-PE-NA-MB-TI01-05,TI01-05,TI01-05 Hugd eller treslagstypeskiftet klart endret friskere ikke-kalkrik skog,TI01-M005-05,TI01-M020-03,TI01-M050-01
789,341,NIN-3.0-T-C-PE-NA-MB-TI01-04,TI01-04,TI01-04 Grøftet eller markforstyrret klart endret tørrere kalkskog,TI01-M005-04,TI01-M020-02,TI01-M050-01
790,341,NIN-3.0-T-C-PE-NA-MB-TI01-03,TI01-03,TI01-03 Grøftet eller markforstyrret klart endret tørrere ikke-kalkrik skog,TI01-M005-03,TI01-M020-01,TI01-M050-01
791,341,NIN-3.0-T-C-PE-NA-MB-TI01-02,TI01-02,TI01-02 Grøftet eller markforstyrret klart endret friskere kalkskog,TI01-M005-02,TI01-M020-02,TI01-M050-01
792,341,NIN-3.0-T-C-PE-NA-MB-TI01-01,TI01-01,TI01-01 Grøftet eller markforstyrret klart endret friskere ikke-kalkrik skog,TI01-M005-01,TI01-M020-01,TI01-M050-01
793,342,NIN-3.0-T-C-PE-NA-MB-TH01-14,TH01-14,TH01-14 Avskoget kalkrik fjell-fukteng,TH01-M005-14,TH01-M020-06,TH01-M050-02
794,342,NIN-3.0-T-C-PE-NA-MB-TH01-13,TH01-13,TH01-13 Avskoget intermediær til svakt kalkfattig fjell-fukthei,TH01-M005-13,TH01-M020-05,TH01-M050-01
795,342,NIN-3.0-T-C-PE-NA-MB-TH01-12,TH01-12,TH01-12 Avskoget kalkfattig fjell-fukthei,TH01-M005-12,TH01-M020-04,TH01-M050-01
796,342,NIN-3.0-T-C-PE-NA-MB-TH01-11,TH01-11,TH01-11 Avskoget høgstaude-fjelleng,TH01-M005-11,TH01-M020-03,TH01-M050-02
797,342,NIN-3.0-T-C-PE-NA-MB-TH01-10,TH01-10,TH01-10 Avskoget storbregne-fjelleng,TH01-M005-10,TH01-M020-02,TH01-M050-01
798,342,NIN-3.0-T-C-PE-NA-MB-TH01-09,TH01-09,TH01-09 Klart kalkrik avskoget lavhei,TH01-M005-09,TH01-M020-06,TH01-M050-02
799,342,NIN-3.0-T-C-PE-NA-MB-TH01-08,TH01-08,TH01-08 Intermediær til litt kalkrik avskoget lavhei,TH01-M005-08,TH01-M020-05,TH01-M050-01
800,342,NIN-3.0-T-C-PE-NA-MB-TH01-07,TH01-07,TH01-07 Kalkfattig avskoget lavhei,TH01-M005-07,TH01-M020-04,TH01-M050-01
801,342,NIN-3.0-T-C-PE-NA-MB-TH01-06,TH01-06,TH01-06 Klart kalkrik avskoget lynghei,TH01-M005-06,TH01-M020-06,TH01-M050-02
802,342,NIN-3.0-T-C-PE-NA-MB-TH01-05,TH01-05,TH01-05 Intermediær til litt kalkrik avskoget lynghei,TH01-M005-05,TH01-M020-05,TH01-M050-01
803,342,NIN-3.0-T-C-PE-NA-MB-TH01-04,TH01-04,TH01-04 Kalkfattig avskoget lynghei,TH01-M005-04,TH01-M020-04,TH01-M050-01
804,342,NIN-3.0-T-C-PE-NA-MB-TH01-03,TH01-03,TH01-03 Klart kalkrik avskoget bærlynghei,TH01-M005-03,TH01-M020-03,TH01-M050-02
805,342,NIN-3.0-T-C-PE-NA-MB-TH01-02,TH01-02,TH01-02 Intermediær til litt kalkrik bærlynghei,TH01-M005-02,TH01-M020-02,TH01-M050-01
806,342,NIN-3.0-T-C-PE-NA-MB-TH01-01,TH01-01,TH01-01 Kalkfattig avskoget bærlynghei,TH01-M005-01,TH01-M020-01,TH01-M050-01
807,343,NIN-3.0-T-C-PE-NA-MB-TG01-42,TG01-42,TG01-42 Skogsmarkspreget historisk silt- og leirskred,TG01-M005-32,TG01-M020-14,TG01-M050-07
808,343,NIN-3.0-T-C-PE-NA-MB-TG01-51,TG01-51,TG01-51 Flomskredmateriale,TG01-M005-41,TG01-M020-19,TG01-M050-12
809,343,NIN-3.0-T-C-PE-NA-MB-TG01-50,TG01-50,TG01-50 Synkehull i permafrost,TG01-M005-40,TG01-M020-18,TG01-M050-11
810,343,NIN-3.0-T-C-PE-NA-MB-TG01-49,TG01-49,TG01-49 Skogsmarkspreget historisk jordskred,TG01-M005-39,TG01-M020-17,TG01-M050-10
811,343,NIN-3.0-T-C-PE-NA-MB-TG01-48,TG01-48,TG01-48 Snøleiepreget historisk jordskred,TG01-M005-38,TG01-M020-17,TG01-M050-10
812,343,NIN-3.0-T-C-PE-NA-MB-TG01-47,TG01-47,TG01-47 Udifferensiert historisk jordskred,TG01-M005-37,TG01-M020-17,TG01-M050-10
813,343,NIN-3.0-T-C-PE-NA-MB-TG01-46,TG01-46,TG01-46 Skogsmarkspreget historisk steinskred,TG01-M005-36,TG01-M020-16,TG01-M050-09
814,343,NIN-3.0-T-C-PE-NA-MB-TG01-45,TG01-45,TG01-45 Udifferensiert historisk steinskred,TG01-M005-35,TG01-M020-16,TG01-M050-09
815,343,NIN-3.0-T-C-PE-NA-MB-TG01-44,TG01-44,TG01-44 Skogsmarkspreget historisk skred av sand og grus,TG01-M005-34,TG01-M020-15,TG01-M050-08
816,343,NIN-3.0-T-C-PE-NA-MB-TG01-43,TG01-43,TG01-43 Udifferensiert historisk skred av sand og grus,TG01-M005-33,TG01-M020-15,TG01-M050-08
817,343,NIN-3.0-T-C-PE-NA-MB-TG01-41,TG01-41,TG01-41 Udifferensiert historisk silt- og leirskred,TG01-M005-31,TG01-M020-14,TG01-M050-07
818,343,NIN-3.0-T-C-PE-NA-MB-TG01-40,TG01-40,TG01-40 Konsoliderte marine bresedimenter,TG01-M005-30,TG01-M020-13,TG01-M050-06
819,343,NIN-3.0-T-C-PE-NA-MB-TG01-39,TG01-39,TG01-39 Snøleiepreget breforland og snøavsmeltingsområde dominert av stein og blokk,TG01-M005-29,TG01-M020-12,TG01-M050-05
820,343,NIN-3.0-T-C-PE-NA-MB-TG01-38,TG01-38,"TG01-38 Fjellhei, leside eller grasmarkspreget breforland og snøavsmeltingsområde dominert av stein og blokk",TG01-M005-29,TG01-M020-12,TG01-M050-05
821,343,NIN-3.0-T-C-PE-NA-MB-TG01-37,TG01-37,TG01-37 Rabbepreget breforland og snøavsmeltingsområde dominert av stein og blokk,TG01-M005-29,TG01-M020-12,TG01-M050-05
822,343,NIN-3.0-T-C-PE-NA-MB-TG01-36,TG01-36,TG01-36 Udifferensiert breforland og snøavsmeltingsområde dominert av stein og blokk,TG01-M005-28,TG01-M020-12,TG01-M050-05
823,343,NIN-3.0-T-C-PE-NA-MB-TG01-35,TG01-35,TG01-35 Skogsmarkspreget sand- og grusdominert breforland og snøavsmeltingsområde,TG01-M005-27,TG01-M020-12,TG01-M050-05
824,343,NIN-3.0-T-C-PE-NA-MB-TG01-34,TG01-34,TG01-34 Snøleiepreget sand- og grusdominert breforland og snøavsmeltingsområde,TG01-M005-26,TG01-M020-12,TG01-M050-05
825,343,NIN-3.0-T-C-PE-NA-MB-TG01-33,TG01-33,"TG01-33 Fjellhei, leside eller grasmarkspreget sand- og grusdominert breforland og snøavsmeltingsområde",TG01-M005-26,TG01-M020-12,TG01-M050-05
